Time (s),Sensor 1 (m),Sensor 2 (m),Sensor 3 (m),Sensor 4 (m),Sensor 5 (m)
293,0.04474961,0.045631716,0.047271719,0.259147057,0.050792392
294,0.046426498,0.046729228,0.048384185,0.258535066,0.050889785
295,0.047383779,0.045777698,0.0478072,0.259754484,0.051824713
296,0.045785853,0.045627545,0.049032995,0.259042011,0.0513388
297,0.045422852,0.042944374,0.048451016,0.258931578,0.052168891
298,0.045714849,0.046128132,0.04765759,0.259163032,0.053128305
299,0.045713372,0.042424812,0.048174211,0.258497692,0.051533769
300,0.046876964,0.044630505,0.048298035,0.259021463,0.052209152
301,0.045886528,0.043805273,0.047515608,0.258838145,0.051377656
302,0.045317778,0.042461233,0.047353113,0.258156014,0.050300626
303,0.044468426,0.041370104,0.047183649,0.258897897,0.050341607
304,0.044960264,0.045789161,0.046299238,0.258743439,0.051305139
305,0.043660938,0.043296576,0.047093243,0.258686343,0.050795324
306,0.044934707,0.043474482,0.046235792,0.258974017,0.050536754
307,0.044160917,0.040703048,0.047138581,0.258412581,0.048810592
308,0.044184417,0.044264143,0.047171988,0.258775877,0.049839546
309,0.046328201,0.044964229,0.046938391,0.259838974,0.050917296
310,0.04477135,0.041127804,0.047245961,0.258699068,0.050669797
311,0.043729544,0.044092367,0.04708012,0.258902726,0.049760071
312,0.045264357,0.044757151,0.046940543,0.258919131,0.049825351
313,0.044843237,0.039257369,0.047767827,0.258955245,0.050560166
314,0.044652765,0.042406985,0.047088009,0.258612704,0.04950442
315,0.044560051,0.045113644,0.04704553,0.259280333,0.051569249
316,0.045040144,0.04373775,0.047746816,0.258468846,0.050404044
317,0.043996581,0.043445,0.04667566,0.25877172,0.051297818
318,0.045637076,0.043274313,0.047553787,0.258763418,0.049605363
319,0.045608311,0.044054816,0.047043396,0.25837065,0.05092704
320,0.044715585,0.043919025,0.04770889,0.258900438,0.049605379
321,0.044110448,0.045018451,0.047237603,0.259053441,0.051389534
322,0.043991011,0.043107827,0.04644754,0.258272454,0.050107421
323,0.047004621,0.042121427,0.046489543,0.259519063,0.049410212
324,0.045953723,0.044522035,0.048447669,0.258738298,0.048922875
325,0.045631208,0.044950576,0.04934105,0.258887997,0.051345719
326,0.047235295,0.04410488,0.048786262,0.25892326,0.051003143
327,0.047022225,0.04541325,0.048906765,0.258925345,0.052298399
